ClientID,ClientName,ClientAddress,ClientCity,ClientState,ClientZip,Phone,Email
2417,Kelly Property Development,66750 Industrial Parke Drive,Sparks,NV                              ,89431,7758642950,Dave.Kelley@KPDLLC.inv
2924,"Casem, Brokaw and Stuart, LLC",1500 Diagon Alley,Reno,NV                              ,89519,7757261335,CCasem@gmail.inv
4147,"Lloyds Casino Properties, LLC",2455 Air Park Avenue,Carson City,NV                              ,89701,7755004010,Guillermo@gmail.inv
4339,3 Gals From Verona,1001 Apple Road,Sparks,NV                              ,89431,7754283191,SophiaM@mail.yahoo.inv
4435,Dew Drop Inn Luxury Suites,"3750 Brambley Road, Suite 2000",Reno,NV                              ,89509,7754316404,MarySmith@dewdropproperties.inv
4469,Fran and Harrold Meyers,5740 Braeburn Hill Drive,Reno,NV                              ,89509,7758652686,franny47@gmail.inv
5012,Less Furniture Company,1200 Apricot Blvd.,Reno,NV                              ,89509,7757089540,bruce2@mail.yahoo.inv
5423,Aero Professional Corp.,"1247 Airport Boulevard, Ste 23",Stead,NV                              ,89441,7757157677,amelia777@gmail.inv
6295,AO Reid Construction,4275 Contractor Terrace,Sparks,NV                              ,89431,7757225646,Harry@AOReid.inv
6672,Ms. Catherine Hampstead,23 Pine Forest Ave.,Incline Village,NV                              ,89541,7759180022,Champstead@abner.rr.inv
9948,Adam's Rib Restaurant,27 Main Street,Truckee,CA                              ,96161,5309006607,Jean@adamsribsrestaurant.inv
